i,r1,l1,r2,l2,cyl1_primitive,cyl2_primitive,algoPath,minD,p1x,p1y,p1z,p2x,p2y,p2z,q0,q1,q2,q3,R_temp[0][0],R_temp[0][1],R_temp[0][2],O2x,R_temp[1][0],R_temp[1][1],R_temp[1][2],O2y,R_temp[2][0],R_temp[2][1],R_temp[2][2],O2z,kvec[0],kvec[1],kvec[2],kphi
10010,0.515856,2.47722,5.63038,3.80238,5,6,C4b4b,3.27927,-0.203254,-0.474126,2.47722,-0.488803,-1.14022,5.6754,0.993264,0.103577,-0.0404344,-0.0325987,0.994605,0.056382,-0.0870771,2.28407,-0.0731344,0.976418,-0.203123,1.21578,0.0735712,0.208395,0.975274,6.41367,0.893909,-0.348964,-0.281338,0.232262
10011,2.92244,0.761949,6.22206,3.66074,5,5,C4c4c,1.61532,0.243046,2.91232,0,0.263128,3.15296,-1.59717,0.966189,0.0740451,0.054762,-0.240827,0.878007,0.473479,0.0701568,6.01855,-0.45726,0.873039,-0.169459,2.32224,-0.141485,0.116707,0.983037,-5.87504,0.287179,0.212391,-0.934033,0.521563
10012,0.881053,3.98899,6.20031,3.66327,5,6,C24cX,1.03884,0.224586,0.851948,3.98899,0.489228,1.85585,4.02558,0.999235,0.015398,-0.00994941,0.0345427,0.997416,-0.0693389,-0.0188198,2.08615,0.0687261,0.997139,-0.0314598,7.87671,0.0209474,0.0300851,0.999328,3.31996,0.39375,-0.254421,0.883307,0.0782321
10013,0.349532,2.3071,6.02328,4.09839,3,2,C4c1X,-0.349532,-1.77636e-15,-4.44089e-16,0.208626,0,4.44089e-16,0.208626,0.998033,0.0360681,-0.00723744,-0.0507655,0.994741,0.100809,-0.0181084,4.44278,-0.101853,0.992244,-0.0712595,3.67021,0.0107844,0.0727291,0.997293,0.551543,0.575312,-0.115442,-0.809746,0.125468
10014,4.98899,4.3527,5.27029,0.361644,3,6,B4bXX,1.57504,2.3142,3.60383,-1.57504,2.3142,3.60383,-8.88178e-16,0.917182,0.367675,-0.0722066,0.135571,0.952813,-0.301784,-0.032761,2.14732,0.19559,0.692872,-0.694027,0.0686318,0.232145,0.654871,0.719203,-5.49693,0.922717,-0.18121,0.34023,0.819695
10015,1.79548,2.89715,7.76243,2.26288,5,3,C24aX,-0.53704,0.615025,-1.68686,0,0.458145,-1.25658,0.280462,0.905259,0.0697453,0.331619,-0.256263,0.648717,0.510226,0.564655,2.58751,-0.41771,0.85893,-0.296238,-7.4034,-0.636148,-0.0436876,0.770329,-3.96188,0.164161,0.780537,-0.60317,0.877614
10016,3.73905,0.177105,8.14455,3.73901,6,5,B4cXX,1.20413,3.65084,-0.807365,0.177105,3.89442,-0.861232,1.35511,0.881485,0.372859,0.0585002,0.283792,0.83208,-0.456692,0.314763,3.2719,0.543941,0.560877,-0.624135,5.11922,0.108494,0.690543,0.715108,6.84877,0.789601,0.123886,0.600984,0.983596
10017,3.3344,0.81984,7.48629,4.15006,5,5,C4b4b,0,0.863946,3.22053,0,0.863946,3.22053,-1.55431e-15,0.987476,0.100112,-0.11584,-0.0380854,0.970261,0.0520228,-0.236404,1.42861,-0.0984108,0.977054,-0.188893,-2.77673,0.221153,0.20654,0.953117,-5.4027,0.634538,-0.734227,-0.241396,0.316867
10018,1.64389,0.370805,6.15714,3.16536,5,2,C4c2X,1.56296,1.60809,0.341175,0.151846,3.13702,0.665553,0.151846,0.998396,0.056481,0.00284459,-0.00254911,0.999971,0.00541138,0.00539211,9.14462,-0.00476872,0.993607,-0.112795,2.28807,-0.00596802,0.112766,0.993604,-2.8823,0.997721,0.050249,-0.0450294,0.113281
10019,2.35742,4.72159,7.9627,2.25459,5,5,C4b3b,0.0282515,-0.423504,2.31906,-4.44089e-16,-0.424672,2.32546,-0.0274922,0.99317,0.113748,0.0223471,-0.0132733,0.998649,0.0314492,0.0413694,2.82629,-0.0212815,0.973771,-0.226535,3.50731,-0.0474086,0.225348,0.973124,-2.20743,0.974873,0.191526,-0.113759,0.233892
10020,3.37738,2.40968,7.41475,1.52478,1,1,AXXXX,0,-3.054,-1.44214,1.72205,-3.054,-1.44214,1.72205,0.949606,0.272457,0.146667,-0.0500478,0.951968,0.174972,0.25128,2.70988,-0.0151307,0.846525,-0.532134,-3.75152,-0.305823,0.502772,0.808512,-2.38068,0.869229,0.467917,-0.15967,0.63764
10021,1.73558,3.04553,5.92311,3.13579,5,2,C4c2X,-1.36992,1.42678,-0.988193,2.13111,0.300598,-0.208195,2.13111,0.991738,0.113576,0.0220547,0.0554027,0.992888,-0.10488,0.0563297,5.00926,0.1149,0.968062,-0.222831,-2.70157,-0.0311601,0.227719,0.973228,-1.93435,0.885386,0.171928,0.431894,0.257265
10022,2.6622,1.30248,5.43822,4.38692,5,3,C24bX,-1.29287,0.80494,-2.5376,0,0.43006,-1.35578,0.366427,0.989594,0.140761,0.0294537,0.00473132,0.99822,-0.00107229,0.0596264,1.88942,0.0176561,0.960328,-0.278315,-5.7784,-0.0569624,0.278872,0.958637,-3.06418,0.978272,0.204699,0.032882,0.288778
10023,3.87884,1.64821,6.4419,0.948755,5,3,C4b3b,0.919122,0.185092,2.03907,0,0.185092,2.03907,-0.919122,0.89629,0.428415,-0.0613023,0.0967859,0.973749,-0.226022,-0.0269603,0.0714706,0.120971,0.614187,-0.779834,-1.24745,0.192818,0.756101,0.625406,-6.53909,0.966054,-0.138234,0.218247,0.91893
10024,3.82436,0.605716,8.49538,3.42893,5,5,C4b4b,1.08412,2.84572,2.55491,0,3.15326,2.83102,-1.00225,0.962691,0.155164,-0.116982,-0.188325,0.901698,0.326295,-0.283677,6.99734,-0.3989,0.880916,-0.254688,5.97822,0.166793,0.34281,0.924479,-2.6647,0.573396,-0.432299,-0.695942,0.548042
10025,1.48644,4.54821,9.52466,4.36989,5,6,C4b3b,0,-1.48381,-0.0885021,4.54821,-1.48381,-0.0885021,4.54821,0.911257,0.410036,-0.0200488,-0.0328583,0.997037,0.0434432,-0.0634853,6.29041,-0.0763261,0.661581,-0.745979,0.998047,0.00959298,0.748614,0.662937,-0.0763639,0.995623,-0.0486811,-0.0797843,0.848942
10026,2.47989,0.902106,6.45527,3.42089,5,3,C24bX,-1.8931,1.16894,-2.1871,0,0.293828,-0.549755,0.37029,0.993848,0.0912874,0.0368064,0.0507798,0.992133,-0.0942149,0.082431,3.02349,0.107655,0.978176,-0.177713,-5.58449,-0.0638887,0.18519,0.980624,-3.91854,0.824228,0.332322,0.458488,0.221966
10027,2.49263,0.691192,5.60629,1.80221,5,5,C4c4c,2.45757,-1.21006,2.17921,0,-1.51751,2.7329,-2.37456,0.986007,0.105754,0.0760358,0.104042,0.966787,-0.189091,0.171949,2.74986,0.221255,0.955982,-0.192727,6.31295,-0.127938,0.22437,0.966069,-4.28541,0.634383,0.456113,0.624115,0.334972
10028,1.97164,3.04441,8.29416,1.29453,5,6,C4b4b,4.15195,-1.16765,-1.58869,3.04441,-1.3812,-1.87925,7.18067,0.998962,0.0346687,-0.0262175,0.0136492,0.998253,-0.0290879,-0.0514342,1.77833,0.0254522,0.997224,-0.0699811,-3.52458,0.053327,0.0685497,0.996221,7.22822,0.760971,-0.575469,0.299597,0.0911486
10029,2.13664,2.91785,9.67247,1.32731,3,2,C4b1X,-2.13664,-8.88178e-16,-8.88178e-16,0.954375,-8.88178e-16,0,0.954375,0.994605,0.0989097,0.0147847,0.0275535,0.998044,-0.051885,0.0348605,4.371,0.0577344,0.978915,-0.195937,3.48422,-0.0239593,0.197567,0.979997,1.49551,0.953486,0.142524,0.265615,0.207844
10030,2.7878,4.1497,7.131,1.97194,5,6,C24cX,-2.44351,2.53125,-1.16818,4.1497,0.31378,-0.14481,4.2291,0.997686,0.0577421,-0.00667368,-0.0352598,0.997424,0.0695857,-0.0173884,6.79553,-0.0711271,0.990845,-0.114746,-3.06252,0.00924453,0.115688,0.993243,3.40167,0.849337,-0.0981642,-0.518642,0.136075
10031,2.05394,3.91641,5.02704,3.87193,5,6,C4b4b,3.70862,0.0974063,-2.05163,3.91641,0.209354,-4.40954,6.77676,0.938009,0.33799,-0.0112886,0.0759836,0.988198,-0.150177,0.0301858,2.90212,0.134916,0.759978,-0.635792,-6.249,0.072541,0.632361,0.77127,5.15502,0.975132,-0.0325686,0.219219,0.707909
10032,1.05441,4.32591,7.36947,0.469598,5,2,C4b2X,-0.810533,1.04522,-0.138968,3.49425,0.241754,-0.0321427,3.49425,0.999643,0.0102801,-0.0161482,-0.0186245,0.998785,0.0369036,-0.0326679,7.55835,-0.0375676,0.999095,-0.0199513,-0.99885,0.031902,0.0211543,0.999267,3.2442,0.384906,-0.604622,-0.697337,0.0534223
10033,2.28858,3.46038,8.90434,2.2128,5,5,C4b4b,0.160113,1.14259,1.98295,-3.88578e-16,1.20441,2.09023,-0.101518,0.902885,0.380296,-0.195845,-0.0426323,0.919654,-0.0719745,-0.386078,7.49987,-0.225943,0.707114,-0.670029,0.526617,0.321226,0.703427,0.634039,-1.41047,0.884654,-0.45558,-0.0991721,0.888723
10034,2.38292,3.04865,5.8491,2.62874,5,2,C4c2X,0.800334,2.33667,0.467217,2.95147,3.12147,0.624138,2.95147,0.996405,0.0247549,-0.0169121,0.0792412,0.98687,-0.15875,-0.0297793,8.93291,0.157075,0.986216,-0.0520121,1.89659,0.0376258,0.0466516,0.998202,0.557672,0.292186,-0.199616,0.935297,0.16965
10035,2.40867,4.13385,6.12745,1.45414,5,5,C4c4c,2.63338,2.34468,0.551506,0,3.99712,0.940186,-2.01322,0.92524,0.0412641,-0.346378,-0.149166,0.715543,0.247442,-0.653276,4.4043,-0.304614,0.952094,0.0269771,6.96578,0.628655,0.179694,0.756639,-3.79834,0.108767,-0.913005,-0.393181,0.778257
10036,3.12982,1.54078,9.18052,1.10505,5,3,C24aX,-3.92552,3.11174,0.33593,0,-0.744416,-0.080364,0.605357,0.979948,0.165833,0.0788356,0.0773661,0.975599,-0.125482,0.180169,8.07738,0.177777,0.933028,-0.312817,1.23439,-0.12885,0.337214,0.932569,-1.8275,0.83228,0.395659,0.388284,0.401188
10037,1.57829,1.15498,7.17004,1.92874,5,6,C4b4b,0.36946,-0.501512,-1.49649,1.15498,-0.579446,-1.72904,1.43129,0.932795,0.328449,-0.134855,0.0618723,0.955972,-0.204015,-0.210941,2.27104,0.0268422,0.776586,-0.629439,-4.5344,0.292229,0.596064,0.74787,-0.125824,0.911329,-0.374175,0.171674,0.737408
10038,1.30222,2.76158,8.24829,4.59795,5,6,C23bX,-4.05001,0.617404,1.14656,2.76158,-1.19737,-2.22359,1.43823,0.91229,0.00737727,-0.382229,-0.146878,0.664655,0.262352,-0.699575,4.28698,-0.273631,0.956745,0.0988219,4.38747,0.695241,0.125743,0.707693,2.32426,0.0180133,-0.933303,-0.358638,0.84391
10039,3.09223,2.59257,8.21346,2.00355,5,5,C4b4b,1.56086,2.67057,1.55883,0,3.07501,1.7949,-1.48896,0.941797,0.03312,-0.14811,0.299976,0.776156,-0.574843,-0.259109,6.99033,0.555221,0.817835,-0.151243,4.10462,0.29885,-0.0264742,0.953933,-2.15957,0.0985179,-0.440564,0.892299,0.685722
10040,0.938082,3.50151,8.09479,2.83916,5,6,C4b3b,2.39578,0.799698,-0.490388,3.50151,1.44743,-0.887591,5.77361,0.98547,0.0915029,0.132059,0.0551048,0.959048,-0.0844406,0.270365,0.108032,0.132776,0.977181,-0.165793,-0.0212949,-0.250196,0.194901,0.948375,6.30689,0.538728,0.777506,0.324432,0.341354
10041,3.3367,3.26652,9.39505,1.56615,5,5,C4b3b,2.65485,-1.06174,3.16327,8.88178e-16,-1.21217,3.61147,-2.61241,0.995438,0.0856546,0.0255932,0.0333383,0.996467,-0.0619881,0.056664,3.98541,0.0707568,0.983104,-0.168821,-2.9803,-0.0452417,0.172234,0.984017,-5.6342,0.897748,0.268243,0.34942,0.191112
10042,1.97261,4.34462,8.53033,2.73699,6,5,B4bXX,0.339587,2.04108,-0.676726,4.63398,1.87238,-0.620792,4.34462,0.962076,0.0913121,0.256149,0.0214467,0.867855,0.0055124,0.496787,3.25,0.0880458,0.982404,-0.164711,7.24039,-0.488954,0.186685,0.852099,5.45954,0.334743,0.939024,0.0786219,0.552568
10043,4.69565,4.07069,8.99823,2.97249,5,3,B4bXX,0,3.04794,3.57199,0,3.04794,3.57199,1.33227e-15,0.92879,0.363462,0.0358999,0.0628951,0.989511,-0.0907362,0.112407,1.02695,0.142929,0.727879,-0.670644,6.02408,-0.020967,0.679675,0.733213,2.55267,0.980722,0.0968679,0.169709,0.759324
10044,3.87711,1.31392,8.97455,3.02189,5,6,C4b4b,2.80501,1.26535,-3.66481,1.31392,1.76005,-5.09759,3.67411,0.953549,0.274755,0.0616382,0.107025,0.969493,-0.170236,0.176362,4.47792,0.237978,0.82611,-0.510792,-8.07665,-0.0587388,0.537179,0.84142,1.29598,0.912088,0.204617,0.355284,0.611981
10045,2.9845,2.69278,8.22801,0.74171,5,2,C4b2X,-2.77014,0.221602,-2.97626,2.59772,0.0159158,-0.213759,2.59772,0.97016,0.242384,-0.0037323,-0.00497366,0.999923,0.00784119,-0.00965292,0.749428,-0.0114598,0.88245,-0.470266,-7.4495,0.00483078,0.470341,0.882472,-1.25016,0.999671,-0.0153932,-0.0205129,0.48981
10046,2.55175,4.07176,5.2425,1.92329,5,3,C24aX,-0.725525,2.48645,-0.573554,0,1.78102,-0.410832,0.0477289,0.936319,0.3298,-0.081398,0.0889495,0.970925,-0.22026,-0.093758,6.90358,0.11288,0.766639,-0.632078,-1.41628,0.2111,0.603116,0.769212,-0.504457,0.939202,-0.231805,0.253309,0.717597
10047,2.86861,2.91341,9.06474,2.23371,3,2,C4b1X,-2.86861,-2.22045e-16,-8.88178e-16,0.451493,3.33067e-16,-3.55271e-15,0.451493,0.993968,0.107004,0.0225753,0.00827907,0.998844,-0.011627,0.0466499,0.835049,0.0212896,0.976963,-0.212344,5.25503,-0.0431064,0.213092,0.976081,-0.733647,0.975669,0.205842,0.0754888,0.219788
10048,3.15122,3.68969,9.61756,2.31426,3,6,B3aXX,0,-2.31346,2.01629,8.43769e-15,-2.31346,2.01629,-4.44089e-16,0.964204,0.197548,0.0760315,0.159701,0.937429,-0.277929,0.209717,5.42014,0.338009,0.870941,-0.356669,7.83596,-0.0835225,0.405238,0.910388,-2.04357,0.745011,0.286737,0.602279,0.536742
10049,1.09568,4.7491,7.38776,2.33084,5,6,C4b3b,0.840055,0.645279,-0.885511,4.7491,0.757162,-1.03905,5.56739,0.991718,0.0958323,0.061397,0.0595199,0.985376,-0.106286,0.133185,1.73121,0.129822,0.974547,-0.182768,3.3243,-0.110369,0.197386,0.974093,6.25291,0.746143,0.478032,0.463417,0.257585
10050,3.80806,1.65923,9.81752,2.01189,5,5,C4b4b,0,-2.23489,3.08327,1.65923,-2.23489,3.08327,1.65923,0.896823,0.390235,-0.206438,0.0284421,0.913149,-0.212133,-0.348078,5.92965,-0.110103,0.693816,-0.711686,0.54693,0.392474,0.6882,0.610201,0.0612683,0.882106,-0.466642,0.0642919,0.916523
10051,1.05346,4.32717,8.03271,0.548888,5,6,C4b4b,1.79115,0.233873,-1.02717,4.32717,0.444496,-1.95222,5.84642,0.960935,0.27021,0.0537224,0.0265409,0.992819,-0.0219753,0.117591,4.47682,0.0800408,0.852564,-0.516457,-5.92993,-0.0889043,0.522161,0.848201,2.86543,0.976283,0.194102,0.0958934,0.560872
10052,2.81809,0.0945538,6.21313,1.71921,5,5,C4c3c,5.08745,-1.86425,2.11333,-3.55271e-15,-2.01684,2.28631,-5.08222,0.975019,0.0744466,0.0966392,0.185626,0.912408,-0.347588,0.216089,3.20579,0.376366,0.920002,-0.109296,0.224612,-0.160812,0.181051,0.970237,-8.24958,0.33516,0.435072,0.835692,0.447982
10053,2.4386,3.19505,8.97616,4.82841,5,6,C4b4b,1.00271,0.963093,-2.24037,3.19505,1.05163,-2.44633,4.17237,0.990699,0.106476,0.0363396,0.076534,0.985644,-0.143906,0.0883013,5.25845,0.159383,0.965611,-0.205408,-1.95854,-0.0557053,0.216533,0.974685,3.89405,0.782505,0.267066,0.56246,0.272987
10054,4.7332,4.3284,5.61163,3.11597,5,4,C24bX,-4.98042,1.97528,4.30133,4.3284,-0.0878156,-0.191225,3.72411,0.99612,0.0503383,-0.0347032,0.0632985,0.989578,-0.1296,-0.0627644,2.30635,0.122612,0.986919,-0.104679,4.98678,0.0755097,0.0958926,0.992523,3.30439,0.571991,-0.39433,0.719257,0.176239
10055,0.633346,4.73462,6.13776,0.0693313,5,6,C4b4b,2.07193,-0.504439,-0.382973,4.73462,-0.559567,-0.424826,6.8054,0.999378,0.0105099,-0.012985,-0.0310642,0.997733,0.0618169,-0.0266068,2.90345,-0.0623627,0.997849,-0.0202001,-3.57928,0.0253009,0.0218135,0.999442,6.83383,0.297975,-0.368148,-0.880726,0.070557
10056,1.96873,2.18292,7.48215,1.46589,5,5,C4b3b,2.57627,-0.151793,1.96287,-8.88178e-16,-0.283369,3.6643,-1.93003,0.929887,0.353998,-0.0103942,0.0994397,0.980007,-0.192294,0.051072,2.34264,0.177576,0.729595,-0.660422,3.65895,0.0897336,0.656288,0.749155,-4.07048,0.962353,-0.0282569,0.27033,0.753383
10057,1.78192,0.178332,9.98985,2.61774,5,6,C24bX,-5.51571,1.73644,0.399984,0.178332,-3.6385,-0.838118,0.166903,0.999685,0.02339,0.00412931,0.0080579,0.999836,-0.0159176,0.00863298,6.07574,0.0163039,0.998776,-0.0466987,1.51603,-0.00787908,0.0468318,0.998872,-2.20252,0.932566,0.164637,0.321271,0.0501679
10058,3.83351,3.49357,9.01665,3.40961,5,5,C4b3b,0.0279311,2.79225,2.62661,-8.88178e-16,2.79309,2.6274,-0.0279074,0.999643,0.0143538,-0.0147472,-0.017037,0.998985,0.0336385,-0.029973,5.23626,-0.0344852,0.999007,-0.028195,-1.59479,0.0289948,0.0291999,0.999153,-3.48626,0.537265,-0.551988,-0.637695,0.0534394
10059,0.507271,1.22074,5.78638,0.680853,5,5,C4c4c,3.40515,0.08969,-0.499279,0,0.681717,-3.79493,-0.619097,0.991757,0.0458481,0.0200142,-0.117962,0.971369,0.235814,0.0288819,1.68556,-0.232144,0.967966,-0.0956623,-9.39588,-0.0505152,0.0862186,0.994995,-1.87101,0.357821,0.156201,-0.920633,0.256969
10060,2.93506,2.92293,5.84419,2.38177,1,1,AXXXX,0,-1.72881,2.37187,2.84363,-1.72881,2.37187,2.84363,0.95024,0.19484,-0.198195,-0.140716,0.881836,0.190195,-0.4315,2.81201,-0.34466,0.884473,-0.314511,4.7351,0.321831,0.426068,0.845512,5.67973,0.625449,-0.636219,-0.451707,0.633585
10061,2.69088,4.65759,5.08325,1.73773,1,1,AXXXX,0,1.8379,-1.96544,0.843765,1.8379,-1.96544,0.843765,0.990967,0.12529,0.0426579,0.0216106,0.995427,-0.0321415,0.0899604,6.53581,0.05352,0.967671,-0.246474,-0.0110079,-0.07913,0.250161,0.964965,0.0155127,0.934264,0.318091,0.161146,0.269022
10062,3.51593,1.07262,6.66446,3.79604,5,5,C24cX,-1.53049,3.49506,0.382546,0,1.97701,0.21639,0.101479,0.944745,0.319062,0.0414898,0.0627287,0.988687,-0.0920497,0.118423,8.18339,0.145001,0.78853,-0.597659,2.97848,-0.0383659,0.608069,0.792957,-3.04512,0.973325,0.126568,0.191359,0.66796
10063,2.63415,1.25105,9.24,1.28114,6,3,B4bXX,1.72255,2.06304,-1.63787,1.25105,2.96935,-2.35739,2.52701,0.932914,0.225755,0.280476,0.00625619,0.842589,0.114964,0.526144,8.05398,0.13831,0.897991,-0.41771,-0.0485464,-0.520495,0.424729,0.740736,0.217393,0.626925,0.778886,0.0173736,0.736747
10064,1.7198,0.219577,6.79971,0.119316,5,6,C4c4c,0.654008,1.61194,-0.599468,0.219577,1.72003,-0.639668,0.863335,0.999235,0.0390728,-0.00119589,-0.00147536,0.999993,0.00285502,-0.00250524,8.49059,-0.00304192,0.996942,-0.0780823,-0.0141537,0.00227465,0.0780894,0.996944,0.92934,0.998821,-0.0305706,-0.0377148,0.0782579
10065,0.954918,4.6169,7.41824,0.216974,5,6,C4b3b,1.39854,0.637511,-0.710949,4.6169,0.69446,-0.774458,6.01284,0.996554,0.0210764,0.022062,-0.0771364,0.987126,0.154671,0.0407203,5.39985,-0.152811,0.987212,-0.0454111,-1.49786,-0.0472234,0.038604,0.998138,5.78796,0.254081,0.265962,-0.929896,0.166094
10066,2.37974,3.88752,8.78641,0.0349006,5,2,C4c2X,-1.59607,1.91753,1.40934,0.696174,0.631459,0.464109,0.696174,0.998713,0.0356211,0.0102968,-0.0346045,0.997393,0.0698535,0.0181017,7.71853,-0.0683864,0.995067,-0.071863,5.65201,-0.0230323,0.0704378,0.99725,0.941379,0.70233,0.203018,-0.682287,0.10148
10067,1.37448,4.04871,6.1966,0.475214,5,5,C4b4b,5.91779,1.36747,0.138688,8.88178e-16,4.93628,0.500634,-4.70667,0.912011,0.117305,-0.297603,-0.256726,0.691048,0.398453,-0.603065,7.16022,-0.538095,0.840662,-0.0611625,-5.11833,0.482604,0.366772,0.795344,-4.04998,0.285995,-0.725567,-0.625907,0.845273
10068,1.7077,2.28257,8.46232,2.17199,5,6,C23bX,-3.59355,1.30578,-1.10053,2.28257,-1.19539,1.00749,3.77052,0.946062,0.293566,-0.0330847,0.133008,0.962429,-0.271092,0.0154926,4.66672,0.232242,0.792256,-0.564264,-2.94407,0.140693,0.546661,0.825449,-1.21461,0.906108,-0.102118,0.410537,0.659878
10069,0.572295,2.91225,9.40342,1.05432,5,5,C4b4b,2.27931,0.544388,0.176533,-2.22045e-16,1.38889,0.450385,-2.0993,0.967038,0.0911903,-0.176554,-0.15922,0.886956,0.275743,-0.370507,9.71489,-0.340143,0.932667,-0.120147,0.139778,0.31243,0.232591,0.921026,0.0648137,0.358125,-0.693366,-0.625292,0.514936
10070,1.9965,2.26325,6.05783,0.800809,5,6,C4c4c,0.194633,1.86731,-0.706502,2.26325,2.04908,-0.775273,2.27395,0.924861,0.373818,-0.0258542,0.0649822,0.990218,-0.139529,0.000759927,7.95113,0.10087,0.712074,-0.694821,-1.75378,0.0964063,0.6881,0.719183,1.32235,0.982946,-0.067983,0.170869,0.780251
10071,3.92966,4.55113,8.42338,4.33599,5,6,C4b4b,0.017924,-3.43765,-1.90389,4.55113,-3.44187,-1.90623,4.56839,0.955898,0.0947752,-0.0974064,-0.260364,0.845445,0.4793,-0.235573,0.830324,-0.516227,0.846456,-0.130468,-1.08912,0.136869,0.231913,0.963059,5.72411,0.322693,-0.331652,-0.886496,0.596191
10072,3.19205,2.69707,8.5017,2.03308,3,2,C4b1X,-3.19205,8.88178e-16,0,2.57208,5.32907e-15,-4.44089e-16,2.57208,0.998812,0.0439134,-0.0147572,-0.0151017,0.999108,0.0288714,-0.0308057,6.02841,-0.0314636,0.995687,-0.0872767,0.616066,0.028153,0.0881682,0.995708,0.770755,0.901231,-0.302861,-0.309931,0.0974906
10073,4.0398,3.73639,6.93661,4.67091,5,6,C4a3c,0,3.98225,0.679426,3.73639,3.98225,0.679426,3.73639,0.958413,0.272368,0.0851812,-0.00190673,0.985481,0.0500561,0.162239,4.92982,0.0427463,0.851625,-0.522406,3.64936,-0.164316,0.521757,0.83712,5.40614,0.954392,0.29848,-0.00668129,0.578813
10074,3.3592,3.77973,5.14738,2.99853,5,6,C4b4b,3.77552,1.80093,-2.83565,3.77973,2.90981,-4.58163,6.93828,0.94495,0.263404,0.111013,0.159259,0.924625,-0.242501,0.293702,3.71949,0.359466,0.81051,-0.462448,-3.26903,-0.125904,0.533167,0.836589,7.3796,0.80499,0.339267,0.486712,0.666707
